UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8,Courses Group 9,Courses Group 10,Courses Group 11,Courses Group 12
University of California Berkeley,Diablo Valley College,COMPSCI 61C,COMSC 260 (4.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,COMPSCI 70,Not Articulated,,,,,,,,,,,
University of California Berkeley,Diablo Valley College,EECS 16A,Not Articulated,,,,,,,,,,,
University of California Berkeley,Diablo Valley College,EECS 16B,ENGIN 230 (4.00); MATH 194 (3.00),,,,,,,,,,,
University of California Berkeley,Diablo Valley College,Requirement,ARTHS 191 (3.00),COMM 121 (3.00),DANCE 201 (3.00),ENGL 123 (3.00),ENGL 123A (4.00),ENGL 126A (4.00),ENGL C1001 (3.00),HIST 122 (3.00),KINES 249 (3.00),PHILO 130 (3.00),PSYC 145 (3.00),SOCIO 122 (3.00)
University of California Davis,Diablo Valley College,ECS 020,MATH 195 (4.00),COMSC 230 (3.00),,,,,,,,,,
University of California Davis,Diablo Valley College,ECS 036A,COMSC 110 (4.00),COMSC 165 (4.00),COMSC 255 (4.00),ENGIN 135 (4.00),,,,,,,,
University of California Davis,Diablo Valley College,ECS 036B,COMSC 200 (4.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,ECS 036C,COMSC 210 (4.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,ECS 050,COMSC 260 (4.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,MAT 021A,MATH 192 (5.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,MAT 021B,MATH 193 (5.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,MAT 021C,MATH 193 (5.00); MATH 292 (5.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,MAT 022A,MATH 194 (3.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,MAT 027A,Not Articulated,,,,,,,,,,,
University of California Davis,Diablo Valley College,MAT 067,Not Articulated,,,,,,,,,,,
University of California Davis,Diablo Valley College,BIS 002A,BIOSC 130 (5.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,BIS 002B; BIS 002C,BIOSC 131 (5.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,CHE 002A; CHE 002B; CHE 002C,CHEM 120 (5.00); CHEM 121 (5.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,CHE 004A,Not Articulated,,,,,,,,,,,
University of California Davis,Diablo Valley College,CHE 004B,Not Articulated,,,,,,,,,,,
University of California Davis,Diablo Valley College,CHE 004C,Not Articulated,,,,,,,,,,,
University of California Davis,Diablo Valley College,PHY 009A,PHYS 130 (4.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,PHY 009B,PHYS 230 (4.00); PHYS 231 (4.00),,,,,,,,,,,
University of California Davis,Diablo Valley College,PHY 009C,PHYS 230 (4.00),,,,,,,,,,,
University of California Irvine,Diablo Valley College,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMSC 140 (3.00); COMSC 240 (3.00),COMSC 110 (4.00); COMSC 165 (4.00); COMSC 200 (4.00); COMSC 210 (4.00),,,,,,,,,,
University of California Irvine,Diablo Valley College,MATH 2A,MATH 182 (4.00),MATH 192 (5.00),,,,,,,,,,
University of California Irvine,Diablo Valley College,MATH 2B,MATH 193 (5.00),,,,,,,,,,,
University of California Irvine,Diablo Valley College,I&C SCI 45C,COMSC 110 (4.00); COMSC 165 (4.00); COMSC 200 (4.00); COMSC 210 (4.00),,,,,,,,,,,
University of California Irvine,Diablo Valley College,I&C SCI 46,Not Articulated,,,,,,,,,,,
University of California Irvine,Diablo Valley College,I&C SCI 51,COMSC 260 (4.00),,,,,,,,,,,
University of California Irvine,Diablo Valley College,I&C SCI 53,Not Articulated,,,,,,,,,,,
University of California Irvine,Diablo Valley College,IN4MATX 43,Not Articulated,,,,,,,,,,,
University of California Irvine,Diablo Valley College,I&C SCI 6B,Not Articulated,,,,,,,,,,,
University of California Irvine,Diablo Valley College,I&C SCI 6D,COMSC 230 (3.00),MATH 195 (4.00),,,,,,,,,,
University of California Irvine,Diablo Valley College,STATS 67,Not Articulated,,,,,,,,,,,
University of California Irvine,Diablo Valley College,I&C SCI 6N,Not Articulated,,,,,,,,,,,
University of California Irvine,Diablo Valley College,MATH 3A,MATH 194 (3.00),,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,COM SCI 31,COMSC 165 (4.00),COMSC 200 (4.00),,,,,,,,,,
University of California Los Angeles,Diablo Valley College,COM SCI 32,COMSC 210 (4.00),,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,COM SCI 33,COMSC 260 (4.00),,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,COM SCI 35L,Not Articulated,,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,COM SCI M51A,Not Articulated,,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,EC ENGR M16,Not Articulated,,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,MATH 31A,MATH 192 (5.00),,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,MATH 31B,MATH 193 (5.00),,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,MATH 32A,MATH 292 (5.00),,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,MATH 32B,MATH 292 (5.00),,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,MATH 33A,MATH 194 (3.00),,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,MATH 33B,MATH 294 (5.00),,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,MATH 61,MATH 195 (4.00),,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C; PHYSICS 4AL; PHYSICS 4BL,PHYS 130 (4.00); PHYS 230 (4.00); PHYS 231 (4.00),,,,,,,,,,,
University of California Los Angeles,Diablo Valley College,ENGCOMP 3,ENGL C1000 (3.00),ENGL C1000E (5.00),ENGL 122AL (5.00),,,,,,,,,
University of California Los Angeles,Diablo Valley College,Requirement,COMSC 110 (4.00),COMSC 165 (4.00),COMSC 200 (4.00),,,,,,,,,
University of California Merced,Diablo Valley College,CSE 022,COMSC 110 (4.00),COMSC 140 (3.00),COMSC 255 (4.00),ENGIN 135 (4.00),,,,,,,,
University of California Merced,Diablo Valley College,CSE 030,COMSC 210 (4.00),,,,,,,,,,,
University of California Merced,Diablo Valley College,MATH 021,MATH 192 (5.00),,,,,,,,,,,
University of California Merced,Diablo Valley College,MATH 022,MATH 193 (5.00),,,,,,,,,,,
University of California Merced,Diablo Valley College,MATH 023,MATH 292 (5.00),,,,,,,,,,,
University of California Merced,Diablo Valley College,MATH 024,MATH 194 (3.00); MATH 294 (5.00),,,,,,,,,,,
University of California Merced,Diablo Valley College,PHYS 008; PHYS 008L,PHYS 130 (4.00),,,,,,,,,,,
University of California Merced,Diablo Valley College,PHYS 009; PHYS 009L,PHYS 230 (4.00),,,,,,,,,,,
University of California Merced,Diablo Valley College,CSE 015,COMSC 230 (3.00),MATH 195 (4.00),,,,,,,,,,
University of California Merced,Diablo Valley College,CSE 024,COMSC 165 (4.00),COMSC 200 (4.00),,,,,,,,,,
University of California Merced,Diablo Valley College,CSE 031,COMSC 260 (4.00),,,,,,,,,,,
University of California Merced,Diablo Valley College,ENGR 091,Not Articulated,,,,,,,,,,,
University of California Merced,Diablo Valley College,ENGR 065,ENGIN 230 (4.00),,,,,,,,,,,
University of California Merced,Diablo Valley College,EE 060,Not Articulated,,,,,,,,,,,
University of California Merced,Diablo Valley College,MATH 032,Not Articulated,,,,,,,,,,,
University of California Merced,Diablo Valley College,ENGR 080,Not Articulated,,,,,,,,,,,
University of California Merced,Diablo Valley College,WRI 001,ENGL C1000 (3.00),ENGL 122AL (5.00),ENGL C1000E (5.00),,,,,,,,,
University of California Merced,Diablo Valley College,WRI 010,ARTHS 191 (3.00),COMM 121 (3.00),ENGL 123 (3.00),ENGL C1001 (3.00),HIST 122 (3.00),PHILO 130 (3.00),PSYC 145 (3.00),SOCIO 122 (3.00),,,,
University of California Riverside,Diablo Valley College,CS 10A,COMSC 110 (4.00),COMSC 165 (4.00),COMSC 255 (4.00),ENGIN 135 (4.00),,,,,,,,
University of California Riverside,Diablo Valley College,CS 10B,COMSC 200 (4.00),,,,,,,,,,,
University of California Riverside,Diablo Valley College,MATH 9A; MATH 9B; MATH 9C,MATH 192 (5.00); MATH 193 (5.00),,,,,,,,,,,
University of California Riverside,Diablo Valley College,PHYS 40A,PHYS 130 (4.00),,,,,,,,,,,
University of California Riverside,Diablo Valley College,CS 11,MATH 195 (4.00),,,,,,,,,,,
University of California Riverside,Diablo Valley College,CS 10C,COMSC 210 (4.00),,,,,,,,,,,
University of California Riverside,Diablo Valley College,CS 61,COMSC 260 (4.00),,,,,,,,,,,
University of California Riverside,Diablo Valley College,MATH 10A,MATH 292 (5.00),,,,,,,,,,,
University of California Riverside,Diablo Valley College,PHYS 40B,PHYS 130 (4.00); PHYS 230 (4.00),,,,,,,,,,,
University of California Riverside,Diablo Valley College,PHYS 40C,PHYS 230 (4.00),,,,,,,,,,,
University of California Riverside,Diablo Valley College,EE 20B,Not Articulated,,,,,,,,,,,
University of California Riverside,Diablo Valley College,MATH 31,MATH 194 (3.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,CSE 11,COMSC 171 (2.00); COMSC 255 (4.00),COMSC 200 (4.00),,,,,,,,,,
University of California San Diego,Diablo Valley College,CSE 12,COMSC 210 (4.00); COMSC 200 (4.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,CSE 29,Not Articulated,,,,,,,,,,,
University of California San Diego,Diablo Valley College,CSE 20,MATH 195 (4.00),COMSC 230 (3.00),,,,,,,,,,
University of California San Diego,Diablo Valley College,CSE 21,Not Articulated,,,,,,,,,,,
University of California San Diego,Diablo Valley College,CSE 30,COMSC 260 (4.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,MATH 18,MATH 194 (3.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,MATH 20A,MATH 192 (5.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,MATH 20B,MATH 193 (5.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,MATH 20C,MATH 292 (5.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,BILD 1,BIOSC 130 (5.00); BIOSC 131 (5.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,BILD 2,BIOSC 130 (5.00); BIOSC 131 (5.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,BILD 3,BIOSC 130 (5.00); BIOSC 131 (5.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,CHEM 6A,CHEM 120 (5.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,CHEM 6B,CHEM 120 (5.00); CHEM 121 (5.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,PHYS 2A,PHYS 130 (4.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,PHYS 2B,PHYS 230 (4.00),,,,,,,,,,,
University of California San Diego,Diablo Valley College,PHYS 4A,Not Articulated,,,,,,,,,,,
University of California San Diego,Diablo Valley College,PHYS 4B,Not Articulated,,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,MATH 3A,MATH 192 (5.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,MATH 3B,MATH 193 (5.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,MATH 4A,MATH 194 (3.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,MATH 4B,MATH 294 (5.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,CMPSC 16,COMSC 165 (4.00),ENGIN 135 (4.00),,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,CMPSC 24,COMSC 210 (4.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,CMPSC 40,COMSC 230 (3.00),MATH 195 (4.00),,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,CMPSC 32,COMSC 200 (4.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,CMPSC 64,COMSC 260 (4.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,MATH 6A,MATH 292 (5.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,PHYS 1,PHYS 130 (4.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,PHYS 2,PHYS 130 (4.00); PHYS 230 (4.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,PHYS 3; PHYS 3L,PHYS 130 (4.00); PHYS 230 (4.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 120 (4.00); PHYS 121 (4.00); PHYS 124 (0.50); PHYS 125 (0.50),PHYS 120 (4.00); PHYS 121 (4.00),,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,PHYS 7A,PHYS 130 (4.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,PHYS 7B,PHYS 130 (4.00); PHYS 230 (4.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,PHYS 7C,PHYS 230 (4.00); PHYS 231 (4.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,PHYS 7D,PHYS 230 (4.00); PHYS 231 (4.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,PHYS 7L,PHYS 130 (4.00); PHYS 230 (4.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,CHEM 1A; CHEM 1B; CHEM 1C; CHEM 2AL; CHEM 2BL,CHEM 120 (5.00); CHEM 121 (5.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,MCDB 1A; MCDB 1LL,BIOSC 130 (5.00); BIOSC 131 (5.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,MCDB 1B,BIOSC 130 (5.00); BIOSC 131 (5.00),,,,,,,,,,,
University of California Santa Barbara,Diablo Valley College,PSTAT 120A,Not Articulated,,,,,,,,,,,
University of California Santa Cruz,Diablo Valley College,CSE 12,COMSC 260 (4.00),,,,,,,,,,,
University of California Santa Cruz,Diablo Valley College,CSE 16,MATH 195 (4.00),,,,,,,,,,,
University of California Santa Cruz,Diablo Valley College,CSE 30,COMSC 210 (4.00),,,,,,,,,,,
University of California Santa Cruz,Diablo Valley College,MATH 19A,MATH 192 (5.00),,,,,,,,,,,
University of California Santa Cruz,Diablo Valley College,MATH 19B,MATH 193 (5.00),,,,,,,,,,,
University of California Santa Cruz,Diablo Valley College,AM 10,MATH 194 (3.00),,,,,,,,,,,
University of California Santa Cruz,Diablo Valley College,MATH 21,MATH 194 (3.00),,,,,,,,,,,
University of California Santa Cruz,Diablo Valley College,AM 30,MATH 292 (5.00),,,,,,,,,,,
University of California Santa Cruz,Diablo Valley College,MATH 23A,MATH 292 (5.00),,,,,,,,,,,
